year_month,category,top_counterpart,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
9-2023,communication,spotify,160,165,2899.75,0.0,1.0
9-2023,groceries,kkiosk,124,244,2902.45,1.0,0.0
9-2023,groceries,brezelkönig,40,49,388.75,1.0,0.0
8-2023,entertainment,google,87,121,1079.3,0.0,1.0
9-2023,transport,easypark,72,203,1036.21,0.0,1.0
9-2023,communication,audible,29,32,313.13,0.0,1.0
10-2023,communication,google,127,544,5641.55,0.0,1.0
10-2023,cash,other,291,745,180187.15,0.66,0.34
10-2023,transport,paypal,23,40,1952.96,0.0,1.0
10-2023,salary,other,1,1,20.0,1.0,0.0
7-2022,groceries,lidl,187,419,16563.83,1.0,0.0
7-2022,groceries,spar,128,297,6916.87,1.0,0.0
7-2022,transport,shell,149,235,8321.87,1.0,0.0
7-2022,groceries,twint,21,52,1118.6,0.0,1.0
8-2022,groceries,migros,741,2702,69471.15,0.93,0.07
8-2022,holidays,swiss,34,64,15342.46,0.17,0.83
8-2022,restaurants,other,1169,8448,297406.32,0.96,0.04
8-2022,health,other,455,794,44319.86,0.88,0.12
8-2022,groceries,brezelkonig,45,61,528.4,1.0,0.0
8-2022,groceries,stocker,12,26,160.7,1.0,0.0
9-2022,communication,apple,362,973,25864.53,0.0,1.0
9-2022,groceries,coop,865,4075,84686.39,0.98,0.02
9-2022,transport,avia,95,159,5957.75,1.0,0.0
9-2022,transport,agrola,77,163,4792.01,1.0,0.0
9-2022,entertainment,swisslos,29,84,3477.0,0.0,1.0
9-2022,transport,tamoil,35,53,1421.35,1.0,0.0
9-2022,transport,socar,84,138,3412.91,1.0,0.0
9-2022,holidays,swiss,35,72,23868.1,0.15,0.85
9-2022,entertainment,playstationnetwork,15,23,782.93,0.0,1.0
9-2022,entertainment,swiss casinos,20,99,10029.08,0.0,1.0
1-2021,groceries,volg,89,279,5285.9,1.0,0.0
1-2021,communication,google,64,123,1365.64,0.0,1.0
1-2021,entertainment,mycasino.ch,2,20,1700.0,0.0,1.0
1-2021,transport,voi,3,9,31.8,0.0,1.0
1-2021,savings,other,20,84,17097.52,0.0,1.0
12-2020,holidays,other,1,1,161.4,0.0,1.0
2-2021,communication,paypal,50,74,2821.1,0.0,1.0
2-2021,transport,other,309,727,23251.85,0.84,0.16
2-2021,living,other,57,81,5030.11,0.52,0.48
3-2021,communication,spotify,98,100,1657.16,0.0,1.0
3-2021,transport,easypark,13,19,107.11,0.0,1.0
3-2021,communication,audible,20,28,336.97,0.0,1.0
5-2021,groceries,coop,599,2695,78288.64,0.96,0.04
5-2021,transport,shell,83,118,3452.02,1.0,0.0
5-2021,shopping,amazon,51,123,6298.29,0.0,1.0
5-2021,shopping,ikea,41,62,8368.1,0.8,0.2
5-2021,shopping,sumup,19,24,1176.52,0.74,0.26
1-2021,living,landi,16,18,633.05,1.0,0.0
1-2021,restaurants,spettacolo,3,4,27.4,1.0,0.0
4-2021,transport,coop,179,410,9956.26,0.98,0.02
4-2021,restaurants,mcdonalds,131,187,3372.2,0.99,0.01
4-2021,entertainment,netflix,86,88,1637.49,0.0,1.0
4-2021,transport,eni,20,44,892.09,1.0,0.0
4-2021,communication,paypal,67,113,3786.8,0.0,1.0
4-2021,transport,lime,13,28,121.25,0.0,1.0
4-2021,entertainment,google,2,4,105.99,0.0,1.0
4-2021,transport,zvv,18,43,1239.3,0.0,1.0
4-2021,health,coop,29,34,1072.05,1.0,0.0
4-2021,wellness,other,8,9,1449.75,0.95,0.05
4-2021,transport,fairtiq,15,26,558.7,0.0,1.0
5-2021,entertainment,mycasino.ch,4,28,3985.0,0.0,1.0
5-2021,cash,revolut,2,2,113.37,0.0,1.0
7-2023,transport,uber,71,164,3233.12,0.03,0.97
7-2023,groceries,kkiosk,108,188,2150.45,1.0,0.0
7-2023,shopping,other,1308,4990,343401.77,0.72,0.28
7-2023,wellness,other,6,10,761.34,0.85,0.15
7-2023,transport,vbz,27,51,468.4,1.0,0.0
7-2023,groceries,brezelkönig,24,32,240.3,1.0,0.0
7-2023,shopping,jelmoli,17,27,1837.1,0.96,0.04
10-2022,entertainment,other,600,1707,140625.25,0.22,0.78
10-2022,cash,other,287,702,137473.94,0.9,0.1
10-2022,groceries,selecta,116,272,1146.49,0.99,0.01
10-2022,shopping,muller,25,26,496.75,1.0,0.0
10-2022,transport,voi,28,98,317.72,0.0,1.0
11-2023,groceries,denner,308,754,17853.29,0.96,0.04
11-2023,communication,google,120,454,5723.68,0.0,1.0
11-2023,shopping,aliexpress,59,189,5436.9,0.0,1.0
11-2023,shopping,paypal,109,198,20770.98,0.0,1.0
11-2023,shopping,zalando,23,27,2430.46,0.0,1.0
2-2022,groceries,avec,91,159,1216.5,0.97,0.03
2-2022,entertainment,interwetten,13,84,5338.07,0.0,1.0
2-2022,transport,parkingpay,41,114,778.5,0.0,1.0
2-2022,groceries,sumup,29,31,710.51,1.0,0.0
2-2022,communication,netflix.com,18,18,254.65,0.0,1.0
2-2022,cash,revolut,23,62,20434.22,0.0,1.0
2-2022,holidays,booking.com,20,22,10298.34,0.0,1.0
2-2022,transport,tier,10,20,89.76,0.05,0.95
11-2023,restaurants,mcdonald's,35,50,832.92,0.91,0.09
12-2023,transport,uber,90,279,5084.71,0.05,0.95
12-2023,entertainment,mycasino.ch,18,82,6155.0,0.0,1.0
12-2023,communication,amazon,46,76,827.85,0.0,1.0
12-2023,restaurants,mcdonald's,48,66,1246.08,0.86,0.14
12-2023,shopping,muller,89,111,4086.05,0.84,0.16
12-2023,transport,vbz,28,56,359.4,1.0,0.0
12-2023,communication,adobe,37,48,1248.12,0.0,1.0
12-2023,savings,revolut,13,18,5702.58,0.0,1.0
3-2023,groceries,volg,141,396,6821.55,1.0,0.0
3-2023,cash,twint,49,147,5775.89,0.0,1.0
3-2023,transport,easypark,48,157,857.31,0.0,1.0
3-2023,shopping,migros,43,46,3420.3,0.96,0.04
3-2023,entertainment,steam,33,65,1715.81,0.0,1.0
3-2023,communication,sky,52,66,1071.07,0.0,1.0
3-2023,cash,binance,16,56,7566.92,0.0,1.0
3-2023,holidays,other,503,1171,196876.22,0.51,0.49
4-2023,communication,google,125,370,3948.2,0.0,1.0
4-2023,entertainment,netflix,105,105,2116.25,0.0,1.0
4-2023,groceries,steiner,51,95,1080.33,1.0,0.0
4-2023,entertainment,google,96,162,1264.48,0.0,1.0
4-2023,living,landi,54,65,2743.15,1.0,0.0
3-2023,communication,yallo,23,69,2102.3,0.0,1.0
5-2023,groceries,aldi,228,512,17418.95,1.0,0.0
5-2023,shopping,digitec galaxus,87,116,12896.56,0.04,0.96
5-2023,communication,post,90,108,2817.31,0.94,0.06
5-2023,groceries,manor,35,62,1800.8,1.0,0.0
5-2023,holidays,swiss,40,74,12764.09,0.05,0.95
5-2023,entertainment,steam,21,35,1029.12,0.0,1.0
4-2023,holidays,booking.com,43,52,17039.58,0.0,1.0
4-2023,groceries,sbb,23,33,340.0,1.0,0.0
4-2023,shopping,ochsner,37,41,3781.85,0.92,0.08
5-2023,shopping,manor,67,92,5082.4,0.87,0.13
5-2023,savings,coinbase,8,46,2266.91,0.0,1.0
5-2023,groceries,rewe,32,55,1060.81,1.0,0.0
6-2023,transport,avia,129,242,7798.51,1.0,0.0
6-2023,transport,socar,106,192,5792.5,1.0,0.0
6-2023,restaurants,other,1289,8825,282201.07,0.95,0.05
6-2023,communication,paypal,93,196,4818.12,0.0,1.0
6-2023,transport,agrola,102,197,5679.33,1.0,0.0
6-2023,transport,tamoil,49,106,2598.5,1.0,0.0
6-2023,living,landi,79,107,3954.05,1.0,0.0
6-2023,entertainment,youtube,45,48,741.54,0.0,1.0
6-2023,cash,kantonalbank,52,76,17750.0,1.0,0.0
10-2021,restaurants,other,951,5898,237218.99,0.95,0.05
10-2021,savings,other,34,82,22815.99,0.02,0.98
10-2021,living,other,79,128,8563.33,0.56,0.44
11-2021,transport,voi,4,9,30.93,0.0,1.0
11-2021,shopping,otto's,31,35,1869.05,0.97,0.03
11-2021,shopping,orell fussli,33,39,1128.8,1.0,0.0
11-2021,entertainment,jackpots.ch,16,112,6616.76,0.0,1.0
11-2021,health,other,415,726,42500.78,0.87,0.13
12-2021,groceries,avec,58,93,1138.5,0.94,0.06
12-2021,shopping,digitec galaxus,119,249,30462.69,0.02,0.98
12-2021,groceries,sumup,79,107,2230.71,0.93,0.07
12-2021,shopping,manor,78,124,6373.3,0.93,0.07
12-2021,savings,coinbase,27,99,23885.49,0.0,1.0
12-2021,cash,kantonalbank,21,31,11100.0,1.0,0.0
12-2021,entertainment,jackpots.ch,21,164,9773.29,0.0,1.0
1-2022,transport,migrol,106,192,4960.36,0.99,0.01
1-2022,communication,amazon,52,96,946.78,0.0,1.0
1-2022,groceries,brezelkonig,44,60,406.3,1.0,0.0
