customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
1593,1,2,65.0,2,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1594,10,141,4665.43,100,729,0.62,0.38,0.0,92.0,0.0,67.0,0.0,46.0,145.0,21.0,1982.0,0.0,8.0,1808.0,0.0,0.0,35.0,0.0,461.0,0.0,0.0,100.0,617.05,3385.27,0.0,0.0,0.0,1.0,0.0,0.0,76.0,0.0,5.0,0.0,True,Churned
1595,1,17,220.7,12,266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,220.7,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1597,1,1,7.66,1,1,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Churned
1598,5,23,1520.57,15,664,0.57,0.43,189.0,82.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,325.56,1046.58,0.0,0.0,0.0,148.43,2.0,1.0,0.0,0.0,8.0,0.0,2.0,True,Churned
1599,3,12,304.87,11,267,0.97,0.03,150.0,10.0,0.0,0.0,0.0,0.0,21.0,28.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,270.56,34.31,0.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,True,Churned
1601,2,7,164.99,7,61,0.68,0.32,0.0,0.0,0.0,66.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.73,10.26,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1604,4,66,559.98,28,126,0.59,0.41,0.0,123.0,0.0,59.0,0.0,0.0,232.0,44.0,0.0,0.0,0.0,33.0,0.0,0.0,47.0,9.0,13.0,0.0,0.0,501.07,49.75,0.0,0.0,0.0,9.16,47.0,11.0,0.0,6.0,0.0,0.0,2.0,True,Churned
1605,1,30,2230.95,11,299,0.71,0.29,0.0,657.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,0.0,554.0,0.0,0.0,242.0,0.0,190.0,0.0,0.0,2230.95,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1606,3,14,181.85,8,31,0.38,0.62,53.0,60.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.31,0.0,0.0,0.0,0.0,59.54,11.0,0.0,0.0,1.0,0.0,0.0,0.0,True,Churned
1607,2,4,186.95,4,14,0.79,0.21,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,86.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1610,4,93,2029.03,46,31,0.9,0.1,0.0,0.0,0.0,297.0,0.0,79.0,426.0,119.0,0.0,0.0,0.0,630.0,0.0,0.0,468.0,0.0,11.0,0.0,0.0,94.93,33.12,68.59,0.0,0.0,1832.39,0.0,1.0,0.0,1.0,0.0,0.0,81.0,True,Churned
1616,1,3,27.3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
1618,3,27,463.97,19,182,0.34,0.66,0.0,13.0,0.0,16.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,234.0,0.0,7.0,0.0,0.0,317.71,146.26,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,9.0,0.0,True,Churned
1619,9,115,4744.35,21,333,0.03,0.97,803.0,2103.0,0.0,127.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1529.0,0.0,66.0,0.0,0.0,3777.36,966.99,0.0,0.0,0.0,0.0,13.0,5.0,0.0,4.0,83.0,0.0,0.0,True,Churned
1621,7,37,3692.34,24,586,0.37,0.63,886.0,15.0,0.0,1860.0,0.0,0.0,318.0,136.0,61.0,0.0,0.0,124.0,0.0,0.0,286.0,0.0,6.0,0.0,0.0,2909.34,768.11,0.0,0.0,0.0,14.89,22.0,1.0,1.0,1.0,0.0,0.0,0.0,True,Churned
