customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us
4885,6,472,27614.32,98,144,0.39,0.61,18996.0,392.0,0.0,134.0,0.0,1427.0,1685.0,20.0,28.0,0.0,0.0,670.0,0.0,101.0,599.0,240.0,3322.0,0.0,0.0,27145.14,47.24,0.0,0.0,0.0,48.15,349.0,0.0,0.0,17.0,92.0,0.0,2.0
4886,10,555,36430.82,316,704,0.77,0.23,589.0,590.0,0.0,1958.0,0.0,307.0,3271.0,1917.0,11544.0,0.0,129.0,7080.0,0.0,0.0,5279.0,114.0,3653.0,0.0,0.0,12934.47,23496.35,0.0,0.0,0.0,0.0,334.0,60.0,43.0,0.0,1.0,48.0,0.0
4887,11,340,29295.85,124,857,0.85,0.15,2252.0,586.0,0.0,351.0,0.0,49.0,11121.0,6477.0,1127.0,0.0,103.0,494.0,0.0,0.0,5176.0,330.0,1229.0,0.0,0.0,23888.77,5127.79,0.0,0.0,0.0,279.29,267.0,15.0,1.0,1.0,0.0,46.0,1.0
4888,10,830,17143.07,252,448,0.71,0.29,540.0,154.0,0.0,1916.0,0.0,262.0,2185.0,284.0,1152.0,0.0,0.0,7215.0,0.0,0.0,1768.0,254.0,1415.0,0.0,0.0,14854.37,2251.54,0.0,0.0,0.0,0.0,738.0,6.0,42.0,3.0,11.0,3.0,0.0
4889,4,405,5806.5,121,374,0.51,0.49,46.0,523.0,0.0,495.0,0.0,59.0,579.0,25.0,1490.0,0.0,11.0,1260.0,0.0,0.0,730.0,14.0,575.0,0.0,0.0,706.1,0.0,5012.45,0.0,0.0,87.95,23.0,5.0,0.0,365.0,0.0,0.0,12.0
4890,5,519,11095.52,121,858,0.88,0.12,4200.0,0.0,0.0,137.0,0.0,207.0,3518.0,205.0,195.0,0.0,96.0,740.0,0.0,0.0,1194.0,4.0,599.0,0.0,0.0,10377.87,717.65,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0
4891,5,87,4843.55,42,628,0.51,0.49,0.0,1299.0,0.0,16.0,0.0,0.0,207.0,6.0,1894.0,0.0,0.0,965.0,0.0,0.0,162.0,20.0,276.0,0.0,0.0,4843.55,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,3.0,1.0,0.0,0.0
4892,8,461,11005.13,262,547,0.94,0.06,250.0,370.0,0.0,258.0,0.0,81.0,1135.0,87.0,1775.0,0.0,0.0,5369.0,0.0,0.0,683.0,25.0,972.0,0.0,0.0,10700.26,115.63,189.24,0.0,0.0,0.0,416.0,2.0,1.0,15.0,6.0,2.0,0.0
4893,9,384,14477.73,248,941,0.88,0.12,0.0,64.0,0.0,208.0,0.0,71.0,1663.0,446.0,2847.0,0.0,49.0,6175.0,0.0,0.0,1912.0,0.0,1043.0,0.0,0.0,3389.59,9406.75,0.0,0.0,0.0,0.0,156.0,69.0,2.0,1.0,0.0,101.0,0.0
4894,4,50,10096.46,6,378,0.04,0.96,9877.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,10.0,0.0,0.0,8759.91,1336.55,0.0,0.0,0.0,0.0,8.0,0.0,1.0,21.0,20.0,0.0,0.0
4895,8,702,4996.89,233,679,0.75,0.25,56.0,33.0,0.0,480.0,0.0,2.0,1338.0,85.0,23.0,0.0,2.0,833.0,0.0,0.0,1492.0,34.0,620.0,0.0,0.0,4012.37,969.4,0.0,0.0,3.44,11.68,519.0,14.0,2.0,4.0,0.0,0.0,0.0
