customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
1551,5,160,3878.43,67,805,0.96,0.04,0.0,16.0,0.0,25.0,0.0,2.0,1221.0,163.0,115.0,0.0,0.0,343.0,0.0,0.0,536.0,0.0,1457.0,0.0,0.0,2274.27,998.05,0.0,0.0,0.0,0.0,119.0,0.0,9.0,0.0,0.0,23.0,0.0,False,Active
1555,9,222,4235.63,76,949,0.23,0.77,0.0,163.0,0.0,247.0,0.0,682.0,320.0,12.0,352.0,0.0,0.0,417.0,0.0,0.0,1652.0,20.0,370.0,0.0,0.0,3642.76,424.73,31.38,0.0,0.0,0.0,125.0,20.0,11.0,7.0,7.0,0.0,23.0,False,Active
1556,14,243,19442.42,102,950,0.18,0.82,1421.0,1471.0,52.0,1248.0,0.0,6.0,423.0,44.0,8229.0,0.0,2830.0,403.0,0.0,0.0,2404.0,97.0,813.0,0.0,0.0,10269.5,5983.89,0.0,0.0,0.0,2502.76,50.0,24.0,12.0,53.0,2.0,0.0,39.0,False,Active
1557,6,173,18905.9,83,935,0.9,0.1,0.0,744.0,0.0,32.0,0.0,0.0,1090.0,547.0,1215.0,0.0,0.0,5534.0,0.0,0.0,8496.0,300.0,947.0,0.0,0.0,15368.48,3509.53,0.0,0.0,0.0,27.89,122.0,2.0,0.0,0.0,40.0,7.0,1.0,False,Active
1558,13,346,11747.62,143,915,0.69,0.31,133.0,1623.0,0.0,836.0,0.0,26.0,1552.0,166.0,1497.0,0.0,0.0,1242.0,0.0,0.0,2485.0,0.0,2187.0,0.0,0.0,5825.74,5462.38,0.0,0.0,0.0,459.5,81.0,4.0,2.0,19.0,8.0,0.0,122.0,False,Active
1559,9,498,12279.1,140,961,0.79,0.21,130.0,954.0,0.0,748.0,0.0,0.0,3110.0,707.0,532.0,0.0,50.0,4291.0,0.0,0.0,648.0,0.0,1109.0,0.0,0.0,12237.72,41.38,0.0,0.0,0.0,0.0,316.0,0.0,1.0,11.0,99.0,2.0,24.0,False,Active
1565,12,456,17157.9,230,901,0.7,0.3,0.0,698.0,0.0,572.0,0.0,83.0,2833.0,1198.0,742.0,0.0,217.0,3874.0,0.0,0.0,5217.0,145.0,1579.0,0.0,151.7,8259.03,8220.26,0.0,0.0,0.0,372.54,240.0,0.0,86.0,9.0,0.0,59.0,24.0,False,Active
1566,4,87,2613.3,54,356,0.86,0.14,717.0,25.0,0.0,0.0,0.0,0.0,138.0,25.0,0.0,0.0,0.0,343.0,0.0,208.0,151.0,0.0,1007.0,0.0,0.0,1785.26,828.04,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1567,7,63,2084.84,37,664,0.97,0.03,0.0,6.0,0.0,117.0,0.0,0.0,256.0,0.0,83.0,0.0,0.0,98.0,0.0,0.0,1017.0,1.0,507.0,0.0,0.0,998.43,1054.59,0.0,0.0,0.0,21.38,52.0,1.0,3.0,0.0,0.0,0.0,2.0,False,Active
1568,3,32,4420.78,20,901,0.62,0.38,0.0,805.0,0.0,44.0,0.0,30.0,226.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,2882.0,0.0,0.0,0.0,0.0,4310.46,110.32,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,False,Active
